GP_CD,SYS_SUPP
Y00316,EMIS
Y00344,TPP
E83639,EMIS
A81053,TPP
A83047,TPP
A83072,TPP
B86003,EMIS
C82045,TPP
C82662,TPP
C88062,TPP
E82024,TPP
E82051,EMIS
E83637,EMIS
E84658,EMIS
G82155,EMIS
F83060,EMIS
F86692,EMIS
G85006,EMIS
G85100,EMIS
H83008,EMIS
J82178,EMIS
J84005,TPP
J84012,TPP
M86038,EMIS
M91021,EMIS
N84035,EMIS
P81167,EMIS
P84048,EMIS
A84033,EMIS
B83041,TPP
C81077,EMIS
C82037,TPP
C84115,TPP
E81049,TPP
E85682,EMIS
E85687,TPP
F81044,EMIS
F82007,EMIS
G82050,EMIS
H84041,EMIS
J83024,TPP
J83037,TPP
L82017,TPP
L83044,EMIS
M83141,EMIS
M91621,EMIS
N81044,EMIS
N81108,TPP
Y04884,EMIS
A82039,EMIS
A86040,EMIS
B87017,TPP
C88082,EMIS
D83048,TPP
E84067,EMIS
F81130,TPP
F81635,TPP
H81083,EMIS
F83683,EMIS
F84740,EMIS
K81012,EMIS
M86633,EMIS
M91013,EMIS
N83024,EMIS
N84006,EMIS
P89018,EMIS
Y05291,TPP
A81618,EMIS
A89032,EMIS
B81603,TPP
B82062,EMIS
B85028,TPP
C84637,TPP
C84696,TPP
F84724,EMIS
G82085,EMIS
H85095,EMIS
J81061,TPP
K82038,EMIS
L81058,EMIS
L82025,TPP
L84039,TPP
M88635,TPP
M92015,EMIS
P86015,EMIS
P92011,EMIS
Y03602,EMIS
A87016,EMIS
A89031,EMIS
B87001,TPP
C81611,EMIS
C82035,TPP
C84030,TPP
C85024,CEGEDIM
C87622,TPP
D83056,TPP
G82152,EMIS
G85647,EMIS
F81075,TPP
F85067,EMIS
G82051,EMIS
J84008,TPP
K81010,EMIS
L84048,TPP
M91020,EMIS
N85009,EMIS
N85048,EMIS
P89015,EMIS
Y02117,EMIS
A81034,TPP
A87023,TPP
C86020,EMIS
E85001,TPP
F83061,EMIS
F81134,TPP
F82650,EMIS
F83044,EMIS
G82022,EMIS
H83014,EMIS
H85024,EMIS
J82092,EMIS
J83045,TPP
M81084,EMIS
M82014,EMIS
M84021,EMIS
N81020,TPP
N83633,EMIS
P82613,EMIS
P91013,EMIS
B85033,TPP
B85610,EMIS
C81069,TPP
C82033,TPP
C84043,EMIS
C84044,EMIS
C88086,TPP
E83649,EMIS
F85663,EMIS
F85044,EMIS
G81087,EMIS
H81022,EMIS
H82070,TPP
H83029,EMIS
J82104,EMIS
K83013,TPP
K84012,TPP
K84015,EMIS
L85026,EMIS
M81033,EMIS
M83127,EMIS
M85029,TPP
M85062,TPP
P81071,EMIS
P83009,EMIS
P85601,EMIS
P89020,EMIS
Y00918,EMIS
Y02973,EMIS
A81054,TPP
B82012,TPP
C83613,TPP
C84619,TPP
C88049,TPP
D81603,TPP
D83003,EMIS
E81052,TPP
E82023,EMIS
E85057,TPP
E85628,TPP
E87006,TPP
G85052,EMIS
F84063,EMIS
F86642,EMIS
G85706,EMIS
H85061,EMIS
K81063,EMIS
L81037,EMIS
L83054,TPP
M83703,EMIS
N82034,EMIS
N82108,EMIS
P83001,EMIS
P84679,EMIS
P88021,EMIS
Y05318,EMIS
E83653,EMIS
A81612,TPP
B81018,TPP
B86024,EMIS
C84036,TPP
D82085,TPP
D82105,TPP
E81030,TPP
E84033,EMIS
E85677,TPP
F85019,EMIS
F84668,EMIS
G81057,EMIS
G82634,EMIS
K84002,EMIS
K84049,EMIS
L84063,EMIS
L85002,EMIS
M82003,EMIS
M84067,EMIS
M85001,TPP
M91641,EMIS
N81084,EMIS
P81016,EMIS
P81674,EMIS
Y06275,TPP
A83045,TPP
B86002,TPP
C82068,TPP
C84067,TPP
E82066,EMIS
E82107,EMIS
E82113,EMIS
F82002,EMIS
G81077,EMIS
G82073,EMIS
K81655,EMIS
K82004,EMIS
L85008,EMIS
M83121,EMIS
M85143,TPP
M91612,EMIS
N81048,EMIS
N84010,EMIS
N85046,EMIS
P84034,EMIS
P88007,EMIS
A81004,TPP
B82032,TPP
B86001,TPP
C82066,TPP
C82669,TPP
C86625,TPP
E82055,EMIS
F81026,TPP
F81197,TPP
G82027,EMIS
F84632,EMIS
F85072,EMIS
F86005,EMIS
G82015,EMIS
G84625,EMIS
G85038,EMIS
K83024,TPP
M82042,EMIS
M84026,EMIS
M85717,TPP
N81057,EMIS
N82094,EMIS
N84041,EMIS
P86602,EMIS
A86005,EMIS
A89023,EMIS
B82069,TPP
B86019,TPP
C83008,TPP
D82019,TPP
D82038,TPP
E81633,TPP
H81052,EMIS
G81017,EMIS
L85007,EMIS
N85006,EMIS
P84053,EMIS
P92620,EMIS
Y00352,EMIS
Y03023,EMIS
A83038,TPP
A86012,TPP
B83628,TPP
C86021,TPP
D83053,TPP
F83002,EMIS
F86040,EMIS
G81022,EMIS
G82702,EMIS
H84050,EMIS
H85029,EMIS
J84019,TPP
L82001,TPP
M85070,EMIS
M87013,TPP
M91659,EMIS
N83622,EMIS
P81633,EMIS
P84045,EMIS
P92030,EMIS
